symbol	sample16_48hr_siNeg_1_S227	sample17_48hr_siNeg_2_S228	sample18_48hr_siNeg_3_S229	sample19_48hr_siFli1_1_S230	sample20_48hr_siFli1_2_S231	sample21_48hr_siFli1_3_S232
ENSG00000011083.8|SLC6A7	0	0	1	2	4	9
ENSG00000011105.12|TSPAN9	451	451	470	2189	2935	2501
ENSG00000011114.14|BTBD7	730	776	662	1180	1521	1335
ENSG00000011132.11|APBA3	322	375	315	568	818	633
ENSG00000011143.16|MKS1	376	449	416	358	545	504
ENSG00000011198.8|ABHD5	132	161	156	255	289	229
ENSG00000011201.11|ANOS1	0	0	0	1	2	0
ENSG00000011243.17|AKAP8L	1670	1864.76	1726	1961	2813	2419
ENSG00000011258.15|MBTD1	708	814	679	932	1036	977
ENSG00000011260.13|UTP18	1939	2263	2009	712	783	707
ENSG00000011275.18|RNF216	1728	1788.1	1647.1	1990.65	2810.66	2354.92
ENSG00000011295.15|TTC19	1565	1699.35	1505	1055.5	1365.34	1248.25
ENSG00000011304.19|PTBP1	12000	12998.67	12374.32	5950	8180	6570
ENSG00000011332.19|DPF1	163	203	190	42	61	57
ENSG00000011347.9|SYT7	9	3	5	22	19	19
ENSG00000011376.10|LARS2	891	897	893	590	737	646
ENSG00000011405.13|PIK3C2A	2361	2669	2233	1918	2246	2210
ENSG00000011422.11|PLAUR	414	435	404	273	393	316
ENSG00000011426.10|ANLN	4660	5251	4613	1139	1267	1220
ENSG00000011451.18|WIZ	2228	2389	2350	2165	3071.99	2439
ENSG00000011454.16|RABGAP1	1950	2084	1908	2454	3111	2796
ENSG00000011465.16|DCN	4	2	1	149	253	172
ENSG00000011478.11|QPCTL	322	354	346	134	195	160
ENSG00000011485.14|PPP5C	3888	4306	4069	1585	2333	2015
ENSG00000011523.13|CEP68	1074	1111	1055	1056.86	1372	1207
ENSG00000011566.14|MAP4K3	458	480	387	846	971	853
ENSG00000011590.13|ZBTB32	0	0	0	0	0	0
ENSG00000011600.11|TYROBP	0	0	0	0	0	0
ENSG00000011638.10|TMEM159	85	108	95	433	512	403
ENSG00000011677.12|GABRA3	2	1	0	2	1	3
ENSG00000012048.21|BRCA1	3102	3498	2861	329	387	370
ENSG00000012061.15|ERCC1	1978	2169	1982	1634	2306.01	1902
ENSG00000012124.16|CD22	0	0	0	2	0	1
ENSG00000012171.19|SEMA3B	57	51	55	393	586	458
ENSG00000012174.11|MBTPS2	573.83	576.13	524.12	585.5	677.92	627.3
ENSG00000012211.12|PRICKLE3	298	278	262	290	471	341
ENSG00000012223.12|LTF	0	0	0	1	1	0
ENSG00000012232.8|EXTL3	1906	1975	1875	2580	3544	3095
ENSG00000012504.13|NR1H4	1	1	0	0	3	1
ENSG00000012660.13|ELOVL5	4893	5612	4770	3056	3556	3374
ENSG00000012779.10|ALOX5	0	0	0	0	1	3
ENSG00000012817.15|KDM5D	0	0	0	0	0	2
ENSG00000012822.15|CALCOCO1	672	712	590	3587	5097	4165
ENSG00000012963.14|UBR7	1135.46	1356	1131.96	681	791.11	720.96
ENSG00000012983.11|MAP4K5	864	991	824	1849	2241	2000
ENSG00000013016.15|EHD3	181	203	172	1158	1538	1382
ENSG00000013275.7|PSMC4	2106	2313	2189	1347	1793	1453
ENSG00000013288.8|MAN2B2	385	460	425	1134	1572	1275
ENSG00000013293.5|SLC7A14	0	2	0	98	93	77
ENSG00000013297.11|CLDN11	1	2	2	15.67	26.29	17.48
ENSG00000013306.15|SLC25A39	2511	2751	2623	1502	2126	1759
ENSG00000013364.18|MVP	276	369.98	293	3183.76	4841.75	3834.84
ENSG00000013374.16|NUB1	1010	1192	983	1909	2597	2229
ENSG00000013375.15|PGM3	1017	1154	1024.95	2338	2879	2630
ENSG00000013392.7|RWDD2A	127	156	111	323	391	340
ENSG00000013441.15|CLK1	891	1059	813	1899.93	2465	2273
ENSG00000013503.9|POLR3B	632	669	552	464	462	476
ENSG00000013523.9|ANGEL1	510.53	569.75	481.24	1075.03	1396.71	1174.22
ENSG00000013561.17|RNF14	653	743	655	885	986	938
ENSG00000013563.13|DNASE1L1	533	547	511	732	1112	1033
ENSG00000013573.16|DDX11	2587.78	2743.26	2587.22	686.65	989.18	830.44
ENSG00000013583.8|HEBP1	494	554	484	593	772	596
ENSG00000013588.7|GPRC5A	4	12	6	484	624	507
ENSG00000013619.13|MAMLD1	328	380	341	3068	4262	3577
